Unnamed: 0,Field,CANDELS_ID,z_1,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000_1,DEJ2000_1,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation_1,norm_dist,Gal,RAGdeg,DEGdeg,z_2,logM_,e_logM_,logSFR,e_logSFR,GUmag,GVmag,GJmag,Rad,e_Rad,CID,RAJ2000_2,DEJ2000_2,Det,fLUV,BSC,F435W,e_F435W,F606W,e_F606W,F775W,e_F775W,F814W,e_F814W,F850LP,e_F850LP,F105W,e_F105W,F125W,e_F125W,F140W,e_F140W,F160W,e_F160W,Dist,zphot,q_zphot,CMass,b_CMass,b_cmass_lc,CSFR,b_CSFR,b_csfr_lc,E_B-V_,b_E_B-V_,b_e_b-v__lc,logAge,b_logAge,b_logage_lc,logtau,b_logtau,b_logtau_lc,CUmag,e_CUmag,CBmag,e_CBmag,CVmag,e_CVmag,logUVSFR,e_logUVSFR,UVE_B-V_,e_UVE_B-V_,VRFlag,BMFlag,EFlag,Separation,Raw_Flux_f160_mjy,Background_Flux_f160_mjy,Corrected_Flux_f160_mjy,Raw_Flux_f850_mjy,Background_Flux_f850_mjy,Corrected_Flux_f850_mjy,wrong_corrected_flux_f160_mjy,wrong_corrected_flux_f850_mjy,new_x,new_y
6,goodss,40,1.056,53.0882628,-27.954256,7.522,3,3.104198769408944,0.05578909133153,1.37345,53.08821295388464,-27.95420938268824,0.6231578232302701,0.4210457898582891,0.3031680500579714,0.7856586150726069,0.536615837299968,0.3735641666589584,0.0219223817962383,0.0204805933427424,0.0021626826802438,0.0858100442378724,0.047847806473799,0.05694335664611,0.1272178747538168,0.0758618118510915,0.0770340943540879,0.2194787372395058,0.1430869913897246,0.1145876187746718,0.3726859004358275,0.2465425910511036,0.1892149640770857,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3.0,5.0,0.0081487107543634,0.4311387067901323,40,53.088263,-27.954256,1.092,10.13,0.12,1.617,0.121,-20.968,-21.843,-22.642,0.432,0.007,3,53.08822,-27.954244,v,0.038,bgsub_v4,0.070617,0.008012,0.102032,0.010817,0.213456,0.019948,0.222861,0.016437,0.332534,0.020848,,,0.701014,0.012304,,,1.031178,0.015253,0.447,1.4,0,9.691,9.503,9.723,0.053,-0.036,0.539,0.254,0.25,0.45,0.652,0.0,0.699,0.875,0.301,1.176,-18.009,0.102,-18.576,0.064,-19.1,0.033,,,,,0,0,0,0.317232885862485,0.7856586141544408,0.7063691624545402,0.118934177549851,,,,0.472118758777121,,51.053832570175665,50.24650531110483
15,goodss,79,1.012,53.0905242,-27.9505466,10.436,3,11.82016074340785,0.0815076184558353,1.01189,53.09074233507276,-27.950626680870933,0.5721374242853617,0.4224330670814947,0.2245565358058004,0.7173285584304275,0.5667279740288885,0.2259008766023085,-6.309518503910531e-05,0.0067565623996478,-0.0102294863770304,0.0519611480785357,0.0297201933263245,0.0333614321283169,0.1034227815836677,0.0647042634829323,0.0580777771511031,0.2169250893134169,0.141792564956712,0.1126987865350573,0.3914788628180626,0.2670063633212575,0.1867087492452076,5.092297701984199e-19,-3.2710329165960546e-21,7.687512046725242e-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6.0,8.0,0.0101080209427414,0.994683934191828,79,53.090524,-27.950547,0.953,10.72,0.15,2.037,0.145,-20.731,-22.164,-23.5,0.713,0.005,1,53.090766,-27.950642,b,0.074,bgsub_v4,0.064996,0.007081,0.091777,0.006274,0.145138,0.012824,0.034401,0.012244,0.214655,0.013262,,,0.131757,0.011975,,,0.055913,0.016248,1.038,0.29,1,7.036,6.972,7.123,-0.315,-0.465,-0.055,0.089,0.05,0.15,-1.532,-2.0,-1.523,-0.333,-1.0,0.699,-17.09,0.089,-16.947,0.184,-17.41,0.083,,,,,0,0,0,0.8663369597425469,0.7173285606736443,0.5667279740452217,0.225900879942634,,,,0.5092648669652449,,70.33794913426337,51.72529341467876
16,goodss,79,1.012,53.0905242,-27.9505466,10.436,4,22.102402584334584,0.1039832900501668,1.01189,53.09011974374247,-27.950509869535257,0.2162287523247457,0.104320095397129,0.1678629853914251,0.2429716990823631,0.1254400787271612,0.1762974305328028,0.0440325483013548,0.0046108254150537,0.0591325843294516,0.06154544004333,0.0138837342702033,0.0714925586596901,0.0972911558715634,0.0254235357914383,0.1078014301201877,0.1727749947131112,0.0500364720527705,0.1841077839905109,0.1850882463761508,0.0586381030015612,0.1896752150618844,-1.360907588598216e-19,-4.88920325012672e-19,5.292443492292753e-19,G,H,79,,53.090523,-27.950544,0,20.471,0.008,0.713,0.005,0.674,0.012,0.613,0.004,-46.5,0.3,339.95,0,1,71943,6.0,8.0,0.0101080209427414,1.85994972783586,79,53.090524,-27.950547,0.953,10.72,0.15,2.037,0.145,-20.731,-22.164,-23.5,0.713,0.005,3,53.090131,-27.950516,b,0.109,bgsub_v4,0.090242,0.006678,0.146042,0.006357,0.25901,0.013057,0.08493,0.012055,0.232452,0.012934,,,0.185189,0.012057,,,0.190895,0.016367,1.904,0.673,0,7.482,7.449,7.564,0.039,0.005,0.12,0.162,0.15,0.2,-1.523,-1.523,-1.523,-1.0,-1.0,-1.0,-17.68,0.052,-17.36,0.095,-17.637,0.066,,,,,0,0,0,0.8810219473107146,0.2429716961672804,0.1254400794264326,0.1762974251112718,,,,0.239017464824488,,70.33794913426337,51.72529341467876
32,goodss,171,0.6202,53.0842704,-27.9460495,12.961,1,7.25044912401984,0.1126417605821741,1.0896717899731536,53.08438560375031,-27.946108397574022,1.4218095811242857,1.6000449369097487,-0.2673530336781949,1.826895395542676,2.117831003405184,-0.4364034117937631,0.0937581142622659,0.0458660755477048,0.0718380580718415,0.2118361823991354,0.1259725739097527,0.128795412734074,0.453447966444888,0.3926214043923813,0.0912398430787601,0.9701485976975148,0.9578245668540436,0.0184860462652069,1.1746890033919195,1.2553453815233573,-0.1209845671971566,,,,G,H,171,,53.08427,-27.946051,0,19.34,0.004,0.616,0.003,1.636,0.015,0.596,0.002,8.4,0.2,704.13,0,1,72035,9.0,2.0,0.0055478093820954,0.7062125808416059,171,53.08427,-27.94605,0.62,10.56,0.19,0.92,0.994,-20.693,-22.153,-23.18,0.616,0.003,4,53.084381,-27.946102,b,0.069,bgsub_v4,0.248611,0.011596,0.346581,0.007288,0.51333,0.023258,-0.024934,0.012343,0.401735,0.016374,,,0.206696,0.012245,,,0.145596,0.015366,0.711,1.593,1,6.819,6.713,6.83,-0.384,-0.624,-0.163,0.0,0.0,0.0,-1.808,-2.0,-1.523,0.878,-1.0,0.903,-17.048,0.023,-17.359,0.042,-17.234,0.045,,,,,0,0,0,0.0960303574311281,1.826895391056241,2.1178310028988503,-0.4364034177639134,,,,0.6225120836855118,,84.00295426698548,81.42585376780171
48,goodss,278,0.6164,53.0833153,-27.9410792,13.131,1,13.135429665602873,0.0544734683243203,1.3207525304798695,53.08336855148755,-27.941291474066297,0.4877771059462827,0.3816007303347375,0.1592645634173179,0.6399107621666522,0.4819503291048996,0.2369406495926288,0.0479545828385074,0.0130473891595278,0.0523607905184692,0.0991261069252693,0.0562588709343884,0.0643008539863212,0.1808994290681418,0.1179045815969657,0.094492271206764,0.2924567684500195,0.2297884502848776,0.0940024772477128,0.386684519120806,0.2974334883105037,0.1338765462154533,,,,G,H,278,,53.083317,-27.94108,0,20.004,0.009,0.989,0.009,1.032,0.017,0.932,0.004,-50.2,0.3,352.13,0,1,72142,14.0,2.0,0.0061258164156442,0.7968915693394937,278,53.083315,-27.941079,0.616,10.16,0.15,1.069,0.445,-20.381,-21.55,-22.364,0.989,0.009,7,53.083378,-27.941291,b,0.036,bgsub_v4,0.104949,0.008034,0.156717,0.006619,0.16171,0.019637,0.176922,0.017717,0.175909,0.014579,,,0.200775,0.012332,,,0.305133,0.016231,0.761,2.659,1,7.256,7.231,7.313,-0.209,-0.331,-0.182,0.188,0.15,0.2,-1.477,-1.523,-1.301,-0.224,-1.0,0.903,-16.166,0.046,-16.196,0.108,-16.297,0.093,,,,,0,0,0,0.7178428922651181,0.6399107670603301,0.4819503299201225,0.2369406557103114,,,,0.4779158206703726,,48.56709353417939,48.52117467075188
56,goodss,300,1.0893,53.0869025,-27.9383494,5.158,2,6.388430949771626,0.1229482301165185,0.456988,53.08682194189943,-27.93842578974674,0.2777933062828206,0.1938067696847428,0.1259798048971167,0.3218444007977545,0.2298383463614482,0.1380090816544592,-0.0097872228318331,-0.0054845903917977,-0.006453948660053,0.0411286460425718,0.0173037116950362,0.0357374015213033,0.0706291276160714,0.0332848804175663,0.0560163707977576,0.1123641353323294,0.0643303798851616,0.0720506331707516,0.2118201872701152,0.1216796258171697,0.1352108421794182,5.6817463388180354e-05,7.637688338990586e-05,-2.933913000258828e-05,G,H,300,,53.086906,-27.938349,0,22.039,0.016,0.253,0.005,1.546,0.079,0.742,0.014,-23.1,1.2,149.77,0,1,72164,16.0,4.0,0.0112242528320246,1.5150429658151383,300,53.086903,-27.938349,1.089,9.95,0.11,1.089,0.103,-19.978,-21.004,-21.982,0.253,0.005,2,53.086847,-27.938441,v,0.105,bgsub_v4,0.057147,0.006529,0.082293,0.004961,0.123898,0.011042,0.127192,0.011995,0.205518,0.010668,,,0.234851,0.013075,,,0.26685,0.015521,1.474,1.016,0,8.597,8.363,8.812,-0.737,-0.778,0.137,0.065,0.0,0.25,0.067,-0.699,0.699,0.582,-0.523,2.0,-17.419,0.096,-17.996,0.057,-18.089,0.059,,,,,0,0,0,0.8208909222563199,0.3218444004449759,0.387278839814877,-0.0981516590548516,,,,0.0954877608525868,,51.87004569237086,44.34240059916419
65,goodss,366,1.9306,53.1002665,-27.9364523,6.287,1,6.592769713860784,0.0552094306049213,0.63336,53.10036768045364,-27.936395320085428,0.2534061903965667,0.1600288229756717,0.1400660511313424,0.3586792597282924,0.2287588665773715,0.1948805897263813,0.0055029998533552,-0.006983924042716,0.018730385844107,0.0341198734731623,0.0222600846049153,0.0177896833023705,0.0504060067455561,0.0295136742368356,0.0313384987630808,0.0740021854746301,0.0472035813278099,0.0401979062202302,0.1151963233099262,0.0638400455495881,0.077034416640507,0.3215527510437873,0.2205870066048715,0.1514486166583735,G,H,366,,53.100266,-27.936453,0,22.289,0.017,0.41,0.007,0.446,0.032,0.842,0.012,31.2,0.9,106.97,0,2,72230,20.0,6.0,0.0029798102968357,0.9647955762976218,366,53.100266,-27.936452,1.931,10.32,0.32,1.714,0.47,-21.622,-22.41,-23.263,0.41,0.007,5,53.10039,-27.936403,v,0.062,bgsub_v4,0.025865,0.006729,0.047723,0.004296,0.065476,0.00974,0.051437,0.012038,0.088835,0.009045,0.113828,0.014159,0.138122,0.012011,0.179924,0.025777,0.187764,0.015211,0.999,1.762,0,8.879,8.631,9.233,0.664,-0.26,1.382,0.311,0.05,0.5,-0.837,-1.699,0.301,-0.069,-1.0,0.903,-18.893,0.132,-19.198,0.118,-19.421,0.088,,,,,0,0,0,0.6841187405476656,0.3586792603424392,0.2374636987012328,0.1818233424618096,0.1364175571929444,0.048928758228429,0.131233198446773,0.300555191812426,0.1556975775609876,59.206492078616066,66.74630498398069
84,goodss,461,0.7587,53.0875397,-27.933578,9.586,1,14.092638149047891,0.063912198519007,0.8190264187265769,53.08771013243444,-27.93374268240987,0.0969583578174364,0.0688313120022909,0.0421905687227182,0.0890816969104835,0.0655240009053348,0.035336544007723,0.0335967926033466,0.0118519310886259,0.0326172922720809,0.0620858231762858,0.0236204076653139,0.0576981232664578,0.067226192157376,0.0311953572119113,0.0540462524181971,0.0992916871144756,0.0494491096907284,0.0747638661356208,0.1134630606168929,0.0612289855819167,0.0783511125524643,0.0765564325702289,0.0600669818094882,0.024734176141111,G,H,461,,53.08754,-27.933578,0,22.085,0.04,0.801,0.035,1.213,0.093,0.838,0.021,69.5,1.4,74.96,0,1,72325,,,0.0009541705493337,1.0556283270282136,461,53.08754,-27.933578,0.759,9.35,0.22,0.395,0.469,-19.546,-20.267,-20.413,0.801,0.036,6,53.087701,-27.933731,b,0.093,bgsub_v4,0.078639,0.006488,0.079667,0.00553,0.105498,0.01315,0.065634,0.011871,0.11407,0.011673,,,0.059655,0.012362,-0.00294,0.026867,0.049501,0.015688,1.057,0.507,0,6.478,6.354,6.639,-0.616,-0.735,-0.497,0.013,0.0,0.05,-1.948,-2.0,-1.699,0.028,-1.0,0.699,-16.074,0.092,-16.105,0.157,-16.247,0.132,,,,,0,0,0,0.0276180323864823,0.0890816976324273,0.0655240006580299,0.0353365454615961,0.0995733730303339,0.0355514885403114,0.0960328267350336,0.0680985457906111,0.1138085710051894,1.3646347932663503,11.494166430929122
88,goodss,482,1.049,53.1035195,-27.933323,6.977,2,3.732507535156497,0.2013250467614767,0.266263,53.1035563983687,-27.93337914726419,0.415448039747862,0.1578887622411148,0.3863389162601208,0.6062744618366125,0.2214304055136716,0.5772660844844112,0.0033947928077307,-0.006433174400671,0.0147419508126027,0.0307551796458805,0.0092192184308585,0.0323039418225329,0.0475455906468938,0.0151531358260495,0.0485886822312663,0.1070577835345472,0.0388083895525687,0.1023740909729677,0.19883029957323,0.0724742303807837,0.1895341037886694,0.5095724994900297,0.1983493400691364,0.46683473913134,G,H,482,,53.103516,-27.933323,0,21.804,0.022,0.3,0.01,3.501,0.208,0.749,0.019,-10.5,2.0,160.39,0,1,72346,26.0,3.0,0.0111320159979693,0.7465014773679958,482,53.103519,-27.933323,1.049,10.29,0.16,1.274,0.155,-19.422,-20.841,-22.332,0.3,0.01,1,53.103568,-27.933392,v,0.158,bgsub_v4,0.049814,0.0067,0.080606,0.004527,0.171331,0.009718,0.17933,0.009915,0.308422,0.009729,0.429764,0.01451,0.634854,0.011965,0.826406,0.026304,0.94494,0.015304,0.786,1.301,0,9.687,9.665,9.704,0.014,-0.12,0.051,0.291,0.25,0.3,0.699,0.699,0.699,0.896,0.477,1.079,-17.588,0.062,-18.34,0.034,-18.847,0.03,,,,,0,0,0,0.7899885050497201,0.9671909082505704,0.5250116274457032,0.6632689212073007,0.2971745971151214,0.1405390465186964,0.2349533258946374,0.9257747349301524,0.3052228491539857,47.33210379334263,45.154553218229815
109,goodss,627,1.977,53.1447578,-27.9284242,5.536,1,9.204955187289071,0.067617351574226,0.401196,53.14464224270013,-27.92852876975004,0.105977005443161,0.0776094153815305,0.0425513850924458,0.1074855084940423,0.0938967986454957,0.0203830647728198,0.0012765768365395,-0.0073151678322015,0.0128876170031116,0.0269106213296178,0.016069822852577,0.0162611977155612,0.0414870572854743,0.0270317334153405,0.0216829858052006,0.0531892392381756,0.0347679984551151,0.0276318611745907,0.0615445842374109,0.0453522030294805,0.0242885718118957,0.1060544889672534,0.109383998969003,-0.0049942650026243,G,H,627,,53.14476,-27.928423,2,21.762,0.061,1.373,0.125,8.0,0.859,0.955,0.022,-1.0,2.1,87.13,0,1,72491,32.0,2.0,0.0082236602485886,0.4022558637141842,627,53.144758,-27.928424,1.941,10.05,0.37,1.691,0.629,-21.253,-21.982,-22.833,1.373,0.125,5,53.144654,-27.928533,v,0.053,bgsub_v4,0.032308,0.004519,0.044537,0.003009,0.056771,0.006308,0.042597,0.009689,0.045984,0.006822,0.04741,0.013571,0.063878,0.011928,0.028853,0.026135,0.044475,0.015641,0.413,1.135,1,7.745,7.441,8.012,-0.195,-0.524,0.462,0.085,0.0,0.2,-1.147,-2.0,-0.523,0.009,-1.0,1.0,-17.971,0.301,-17.903,0.529,-17.871,0.382,,,,,0,0,0,0.2149063416576604,0.1074855087744444,0.094302403217656,0.0197746583351826,0.0714489292281806,0.0486579694163293,0.034186439717777,0.0669258599440106,0.0585154244259417,89.52900740277059,28.385043364141687
