Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000,DEJ2000,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation
0,goodss,18,2.658,53.103527,-27.9564824,4.078,1,4.36188605995159,0.2239421104123902,0.333196,53.10360891122155,-27.9565123536194,0.09376711762315816,0.053789587717553995,0.039977529905604166,0.15248259148762378,0.08541621305675035,0.06706637843087344,0.0,0.0,0.0,0.02012207912557216,0.00839443598424082,0.011727643141331342,0.048305891896486305,0.022360907963432316,0.025944983933053986,0.09177211321485004,0.045947969273998426,0.045824143940851624,0.08470919630420777,0.024763156984660428,0.059946039319547346,,,,G,H,18,,53.103523,-27.956482,0,23.55,0.073,0.319,0.024,0.612,0.193,0.569,0.053,-40.3,4.0,27.3,0,0,71882,1,2,0.012800828997763926
1,goodss,18,2.658,53.103527,-27.9564824,4.078,2,6.2061300340872645,0.1209827158422797,0.333196,53.10357119485734,-27.95639568252427,0.07717538819575118,0.04736282585030583,0.029812562345445336,0.09975174470080524,0.08491098784240975,0.014840756858395475,0.0,0.0,0.0,0.018076959666830063,0.0059715376073680585,0.012105422059462004,0.04796346794050925,0.018514880776315783,0.029448587164193463,0.06099983046221543,0.027316129989864647,0.03368370047235079,0.06606576738581689,0.03733373806204459,0.02873202932377231,,,,G,H,18,,53.103523,-27.956482,0,23.55,0.073,0.319,0.024,0.612,0.193,0.569,0.053,-40.3,4.0,27.3,0,0,71882,1,2,0.012800828997763926
2,goodss,31,2.667,53.1038264,-27.9540187,3.839,1,0.720425221657321,0.4060885904609875,0.539943,53.10383576900185,-27.954012401569592,0.2092344860230528,0.0673095464574825,0.14192493956557034,0.31274137454724005,0.09438011184451194,0.2183612627027281,-7.711265668396521E-4,-0.002021186827045344,0.0012500602602056922,0.06906032978847364,0.022670753633494786,0.04638957615497886,0.12077679134182777,0.040902434650483065,0.07987435669134471,0.1527195810592156,0.04853371994577095,0.10418586111344465,0.16916255565049385,0.054700945060620336,0.1144616105898735,8.54255767054781E-20,1.3725533133256434E-18,-1.2871277366201652E-18,G,H,31,,53.103825,-27.954016,0,23.573,0.092,0.27,0.032,1.43,0.38,0.55,0.074,-31.7,5.1,27.29,0,1,71895,2,2,0.01069103778138416
3,goodss,31,2.667,53.1038264,-27.9540187,3.839,2,6.838421784300818,0.1004407746123745,0.539943,53.10377918230918,-27.95391239448093,0.08979143532716212,0.02706785526627076,0.06272358006089138,0.11603084185144329,0.03786216824098041,0.07816867361046288,-0.002734490872454113,-0.004312292059130226,0.0015778011866761127,0.04337547850513682,0.010208986808567869,0.033166491696568955,0.07903559293808647,0.0204263478200143,0.058609245118072174,0.08883406482374859,0.026977487799220445,0.06185657702452815,0.08490774358889519,0.02209038043953838,0.06281736314935679,1.9450181791653634E-11,-1.4645961016732973E-9,1.484046283464951E-9,G,H,31,,53.103825,-27.954016,0,23.573,0.092,0.27,0.032,1.43,0.38,0.55,0.074,-31.7,5.1,27.29,0,1,71895,2,2,0.01069103778138416
4,goodss,40,1.056,53.0882628,-27.954256,7.522,1,13.107480688522871,0.0100982125343237,1.37345,53.08802423564937,-27.9543260013419,0.14265119060770773,0.14082229280115935,0.0018288978065483864,0.15272382258430148,0.15641081144445085,-0.0036869888601493593,0.018073137451240725,0.009447989882210803,0.008625147569029925,0.03828672340773402,0.027177405204631,0.011109318203103024,0.07097865557024899,0.048588966362572435,0.022389689207676554,0.044324055782601464,0.05159874634252577,-0.007274690559924317,0.11083448714406985,0.08965508116662009,0.021179405977449762,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
5,goodss,40,1.056,53.0882628,-27.954256,7.522,2,5.926723378056377,0.0481234096399573,1.37345,53.08836389331826,-27.954226086836297,0.6297221188954907,0.3809540771128525,0.24876804178263823,0.7471181080562778,0.47829439841811816,0.2688237096381596,0.02498993211645921,0.011952843329381594,0.013037088787077615,0.07502144765736252,0.04245644503975071,0.0325650026176118,0.13034951634608155,0.07458969386736833,0.05575982247871323,0.26112145284736205,0.15498766105682532,0.1061337917905367,0.4516252688936827,0.26979333477676265,0.18183193411692009,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
6,goodss,40,1.056,53.0882628,-27.954256,7.522,3,3.104198769408944,0.05578909133153,1.37345,53.08821295388464,-27.95420938268824,0.6231578232302701,0.42104578985828917,0.20211203337198097,0.7856586150726069,0.536615837299968,0.24904277777263897,0.02192238179623835,0.020480593342742427,0.0014417884534959275,0.08581004423787247,0.047847806473799076,0.0379622377640734,0.12721787475381688,0.07586181185109157,0.051356062902725326,0.2194787372395058,0.1430869913897246,0.07639174584978123,0.3726859004358275,0.24654259105110368,0.12614330938472385,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
7,goodss,40,1.056,53.0882628,-27.954256,7.522,4,11.02433898245151,0.022764433839054,1.37345,53.0880620198265,-27.954176011821463,0.15295632926642486,0.10865034295503524,0.04430598631138962,0.18076285163938205,0.11934850812770974,0.061414343511672326,0.01290050790827315,0.010998632629481449,0.0019018752787916993,0.03802584372187011,0.02293932271049962,0.015086521011370495,0.04890882797906381,0.04026361817078661,0.0086452098082772,0.0661949376265919,0.05504398927092197,0.011150948355669932,0.10233910412361058,0.07319905256865306,0.029140051554957535,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
8,goodss,40,1.056,53.0882628,-27.954256,7.522,5,14.242754298238808,0.0270188963235222,1.37345,53.088420550331165,-27.954059435349464,0.18507861340502418,0.12824758351392623,0.05683102989109798,0.1867560516846671,0.14485984449613792,0.04189620718852918,0.015749859427049803,0.006348860262717618,0.009400999164332185,0.03937601842848411,0.022747740023358356,0.01662827840512576,0.05519206107821795,0.03313764018823391,0.022054420889984033,0.08828292685555648,0.06339596536233161,0.024886961493224877,0.13384712151073505,0.09700338766534322,0.03684373384539183,,,,G,H,40,,53.088264,-27.954254,0,21.314,0.014,0.432,0.007,1.531,0.05,0.74,0.009,46.7,0.7,205.0,0,1,71904,3,5,0.008148710754363466
9,goodss,49,2.01,53.0906011,-27.9524238,4.831,1,7.318607278710889,0.0707577599179088,0.330353,53.09072291167595,-27.952509997611816,0.050073166246603205,0.050395213106619395,-3.220468600161835E-4,0.07170310447748507,0.08148560364766522,-0.009782499170180146,-0.0037867606298353004,-0.009240967557930769,0.005454206928095467,0.020884715026406375,0.013149625319344535,0.007735089707061838,0.026192707659666456,0.018613092418025907,0.0075796152416405475,0.03072868696778267,0.023145671847573962,0.007583015120208715,0.034852518490508196,0.02517994297243387,0.009672575518074322,,,,G,H,49,,53.090599,-27.952423,0,23.198,0.038,0.32,0.014,0.856,0.108,0.762,0.028,88.6,2.1,57.01,0,1,71913,4,2,0.007272583211518736
